respondent_id,segment_true,age_range,gender,country,income_bracket,respondent_role,heritage_connection,items_purchased_12m,items_purchased_12m_raw,buying_channels,product_interests,top_frustration,appeal_score,trust_factors,trust_count,membership_interest,nps_score,max_price_small_piece_usd,max_price_large_piece_usd,authenticity_premium_pct,future_purchases_per_year,main_purchase_blocker,top_wishlist_feature,wants_launch_notification,age_range_ordinal,income_bracket_ordinal,items_purchased_12m_ordinal,membership_interest_ordinal,segment_true_code,channel_Direct_from_artisans_travel,channel_Dont_currently_buy,channel_Galleries_or_exhibitions,channel_Local_boutiques,channel_Online_marketplaces,channel_Other,channel_no_response,interest_Furniture,interest_Home_decor,interest_Jewelry,interest_Pottery_ceramics,interest_Religious_spiritual_items,interest_Textiles_apparel,interest_Wall_art_paintings,interest_no_response,trust_Authentication_certification_per_piece,trust_Named_verified_artisan_profiles,trust_Personal_referral,trust_Recognized_brand_or_press_coverage,trust_Reviews_from_other_collectors,trust_Strong_return_refund_policy,trust_no_response,annual_spending_potential_usd,high_intent_customer,premium_buyer,high_trust_customer
R0812,Gifting & Corporate Buyer,35-44,Female,UAE,$50-100K,Corporate gifting buyer,Professional interest (design/retail),1-2,2,Don't currently buy,Jewelry; Religious/spiritual items,Authenticity doubts,3,Authentication/certification per piece; Reviews from other collectors,2,"Yes, definitely",3,77.0,276.0,51.6,3.0,Trust/authenticity doubts,Video story of the artisan,True,3,3.0,1,2,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,231.0,0,0,0
R0077,Gifting & Corporate Buyer,25-34,Male,Singapore,$25-50K,Corporate gifting buyer,No particular connection,0,0,Local boutiques; Online marketplaces; Direct from artisans/travel,Home decor,Authenticity doubts,3,Authentication/certification per piece; Strong return/refund policy; Personal referral,3,"Yes, definitely",6,51.0,83.0,48.2,5.0,Shipping/customs concerns,Faster shipping,False,2,2.0,0,2,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,255.0,0,0,0
R0637,Global Design & Decor Collector,45-54,Female,France,$100-200K,Interior designer or architect,Professional interest (design/retail),1-2,1,Local boutiques; Online marketplaces; Galleries or exhibitions,Home decor; Furniture,Inconsistent quality,5,Authentication/certification per piece; Reviews from other collectors; Recognized brand or press coverage,3,No,7,257.0,627.0,54.3,1.0,No major concerns,Nothing specific,True,4,4.0,1,0,4,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,257.0,0,1,0
R0974,Diaspora Heritage Buyer,45-54,Female,UK,$50-100K,Individual collector,Indian-origin,1-2,2,Local boutiques,Textiles & apparel; Jewelry; Wall art & paintings,Authenticity doubts,3,Authentication/certification per piece; Named verified artisan profiles; Recognized brand or press coverage,3,No,3,56.0,294.0,45.2,0.0,Price too high,Local pickup or showroom,True,4,3.0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0.0,0,0,0
R0939,Diaspora Heritage Buyer,25-34,Female,USA,Prefer not to say,Gift buyer (personal),Indian-origin,0,0,Local boutiques,Home decor; Jewelry; Pottery & ceramics; Religious/spiritual items,Pricing trust concerns,2,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Personal referral,4,"Yes, definitely",3,46.0,234.0,62.1,4.0,Trust/authenticity doubts,Video story of the artisan,False,2,3.0,0,2,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,184.0,0,0,0
R0900,Diaspora Heritage Buyer,35-44,Female,Australia,$50-100K,Individual collector,Indian-origin,3-5,3,Direct from artisans/travel,Textiles & apparel; Jewelry,Authenticity doubts,3,,1,"Yes, definitely",6,64.0,338.0,42.8,2.0,Shipping/customs concerns,Nothing specific,False,3,3.0,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,128.0,0,0,0
R0281,Collectors Circle Prospect,55+,Male,UK,$200K+,Individual collector,Professional interest (design/retail),6+,8,Local boutiques,Home decor; Wall art & paintings,Inconsistent quality,5,Authentication/certification per piece; Named verified artisan profiles,2,"Yes, definitely",10,368.5,1505.0,47.6,7.0,Return policy concerns,Video story of the artisan,False,5,5.0,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2579.5,1,1,1
R0884,Diaspora Heritage Buyer,35-44,Male,Canada,$50-100K,Other,Indian-origin,1-2,2,Online marketplaces,Home decor,Authenticity doubts,4,Named verified artisan profiles; Strong return/refund policy; Recognized brand or press coverage,3,"Yes, definitely",3,43.0,30.0,46.1,2.0,Shipping/customs concerns,Local pickup or showroom,True,3,3.0,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,86.0,0,0,0
R0762,Global Design & Decor Collector,45-54,Female,Germany,$100-200K,Individual collector,Professional interest (design/retail),6+,6,Galleries or exhibitions,Pottery & ceramics,Shipping/customs issues,4,Recognized brand or press coverage,1,"Yes, definitely",7,160.0,500.0,31.8,3.0,Trust/authenticity doubts,Nothing specific,True,4,4.0,3,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,480.0,1,0,0
R0320,Diaspora Heritage Buyer,55+,Female,Canada,$50-100K,Gift buyer (personal),Indian-origin,1-2,1,Local boutiques,Wall art & paintings; Pottery & ceramics; Religious/spiritual items,Authenticity doubts,4,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Personal referral,4,No,5,53.0,321.0,68.8,1.0,Shipping/customs concerns,Financing/installment options,True,5,3.0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,53.0,0,0,0
R0550,Gifting & Corporate Buyer,25-34,Male,India,$50-100K,Gift buyer (personal),No particular connection,1-2,2,Online marketplaces,Jewelry,Pricing trust concerns,3,Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy,3,"Yes, definitely",5,67.0,325.0,52.8,4.0,Return policy concerns,Video story of the artisan,True,2,3.0,1,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,268.0,0,0,0
R0175,Conscious Luxury Consumer,18-24,Other,USA,$25-50K,Other,No particular connection,1-2,1,Online marketplaces; Galleries or exhibitions,Home decor; Textiles & apparel; Wall art & paintings,Authenticity doubts,2,Authentication/certification per piece; Personal referral,2,No,2,57.0,250.0,42.0,2.0,Shipping/customs concerns,Sustainability certification,False,1,2.0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,114.0,0,0,0
R0372,Diaspora Heritage Buyer,45-54,Male,USA,$50-100K,Gift buyer (personal),"Strong personal interest, not Indian-origin",3-5,4,Online marketplaces; Direct from artisans/travel; Galleries or exhibitions,Home decor; Textiles & apparel; Jewelry; Wall art & paintings; Pottery & ceramics,Authenticity doubts,4,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy,3,"Yes, definitely",5,83.0,607.0,59.2,3.0,Price too high,Faster shipping,True,4,3.0,2,2,2,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,249.0,1,0,0
R0528,Diaspora Heritage Buyer,45-54,Female,Canada,$25-50K,Individual collector,"Strong personal interest, not Indian-origin",3-5,3,Online marketplaces; Direct from artisans/travel; Galleries or exhibitions,Home decor; Wall art & paintings,Shipping/customs issues,3,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy; Recognized brand or press coverage; Personal referral,5,"Yes, definitely",7,24.0,51.0,74.6,2.0,Trust/authenticity doubts,Local pickup or showroom,False,4,2.0,2,2,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,48.0,0,0,0
R0211,Conscious Luxury Consumer,18-24,Male,UK,$25-50K,Gift buyer (personal),"Strong personal interest, not Indian-origin",1-2,1,Local boutiques,Home decor; Furniture,Pricing trust concerns,3,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy,3,No,4,39.0,183.0,62.9,0.0,Shipping/customs concerns,Local pickup or showroom,True,1,2.0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0,0,0
R0236,Conscious Luxury Consumer,35-44,Female,Germany,$50-100K,Gift buyer (personal),Indian-origin,0,0,Online marketplaces,Textiles & apparel,Inconsistent quality,4,Reviews from other collectors; Strong return/refund policy,2,"Yes, definitely",4,82.0,381.0,46.9,2.0,Trust/authenticity doubts,Local pickup or showroom,False,3,3.0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,164.0,0,0,0
R0102,Conscious Luxury Consumer,35-44,Female,Germany,Under $25K,Other,Indian-origin,1-2,2,Local boutiques; Direct from artisans/travel,Textiles & apparel,Authenticity doubts,3,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors,3,No,2,26.0,363.0,44.0,0.0,Not enough need/interest,Faster shipping,True,3,1.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0,0,0
R0987,Conscious Luxury Consumer,25-34,Prefer not to say,Netherlands,$25-50K,Individual collector,Indian-origin,0,0,Online marketplaces; Galleries or exhibitions,Home decor; Textiles & apparel; Jewelry,Authenticity doubts,4,Named verified artisan profiles; Strong return/refund policy,2,"Yes, definitely",6,60.0,217.0,38.7,2.0,Shipping/customs concerns,Video story of the artisan,True,2,2.0,0,2,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,120.0,0,0,0
R0903,Diaspora Heritage Buyer,35-44,Female,USA,$50-100K,Gift buyer (personal),Indian-origin,3-5,3,Direct from artisans/travel; Galleries or exhibitions,Home decor; Pottery & ceramics,Authenticity doubts,3,Named verified artisan profiles; Personal referral,2,"Yes, definitely",8,66.0,351.0,48.55,8.0,Trust/authenticity doubts,Financing/installment options,True,3,3.0,2,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,528.0,0,0,0
R0948,Collectors Circle Prospect,45-54,Male,UK,$200K+,Retailer or boutique owner,Indian-origin,6+,7,Online marketplaces,Textiles & apparel; Furniture; Pottery & ceramics; Religious/spiritual items,Authenticity doubts,5,Named verified artisan profiles; Reviews from other collectors; Personal referral,3,Possibly,7,368.5,1505.0,51.5,3.0,Not enough need/interest,Sustainability certification,True,4,5.0,3,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1105.5,1,1,0
R0347,Conscious Luxury Consumer,35-44,Female,USA,Under $25K,Individual collector,"Strong personal interest, not Indian-origin",1-2,2,Local boutiques,Pottery & ceramics,No provenance story,3,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Recognized brand or press coverage,4,No,1,33.0,363.0,76.5,2.0,Price too high,Sustainability certification,True,3,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,66.0,0,0,0
R0140,Collectors Circle Prospect,45-54,Female,UAE,$200K+,Individual collector,Indian-origin,6+,6,Galleries or exhibitions,Textiles & apparel; Jewelry; Wall art & paintings; Furniture; Pottery & ceramics,Shipping/customs issues,4,Authentication/certification per piece; Recognized brand or press coverage,2,"Yes, definitely",6,292.0,1252.0,48.55,2.0,Return policy concerns,Local pickup or showroom,True,4,5.0,3,2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,584.0,0,1,0
R0622,Diaspora Heritage Buyer,25-34,Male,Singapore,$25-50K,Gift buyer (personal),Indian-origin,1-2,1,Online marketplaces; Direct from artisans/travel,Pottery & ceramics,Other/none,3,Authentication/certification per piece,1,Possibly,7,44.0,177.0,36.3,2.0,Shipping/customs concerns,Sustainability certification,True,2,2.0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,88.0,0,0,0
R0500,Collectors Circle Prospect,55+,Male,USA,$200K+,Interior designer or architect,"Strong personal interest, not Indian-origin",3-5,5,Direct from artisans/travel,Wall art & paintings; Religious/spiritual items,Shipping/customs issues,4,Authentication/certification per piece; Personal referral,2,"Yes, definitely",9,317.0,709.0,37.6,4.0,Not enough need/interest,Nothing specific,True,5,5.0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1268.0,1,1,1
R0371,Diaspora Heritage Buyer,18-24,Female,Canada,$25-50K,Individual collector,Indian-origin,1-2,2,Local boutiques,Religious/spiritual items,Authenticity doubts,4,Reviews from other collectors; Personal referral,2,No,6,42.0,203.0,40.8,1.0,Price too high,Nothing specific,True,1,2.0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,42.0,0,0,0
R0199,Gifting & Corporate Buyer,35-44,Male,India,$25-50K,Corporate gifting buyer,Indian-origin,3-5,4,Local boutiques; Online marketplaces; Direct from artisans/travel,,Inconsistent quality,3,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy,4,No,2,25.0,30.0,51.9,0.0,Price too high,Video story of the artisan,True,3,2.0,2,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0.0,0,0,0
R0688,Diaspora Heritage Buyer,18-24,Male,USA,$25-50K,Individual collector,Indian-origin,1-2,1,Local boutiques; Online marketplaces; Direct from artisans/travel; Galleries or exhibitions,Home decor; Pottery & ceramics; Religious/spiritual items,Inconsistent quality,4,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy,3,No,7,35.0,132.0,61.5,0.0,Not enough need/interest,Sustainability certification,False,1,2.0,1,0,2,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0.0,0,0,0
R0585,Conscious Luxury Consumer,25-34,Male,USA,$25-50K,Individual collector,"Strong personal interest, not Indian-origin",1-2,2,Direct from artisans/travel,Home decor; Textiles & apparel,Other/none,3,Authentication/certification per piece; Reviews from other collectors,2,No,4,20.0,46.0,45.2,1.0,Shipping/customs concerns,Sustainability certification,False,2,2.0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,20.0,0,0,0
R0902,Diaspora Heritage Buyer,25-34,Female,UK,$50-100K,Individual collector,Indian-origin,1-2,2,Local boutiques,Textiles & apparel; Religious/spiritual items,No provenance story,5,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy,4,"Yes, definitely",8,145.0,645.0,65.9,5.0,Trust/authenticity doubts,Faster shipping,True,2,3.0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,725.0,1,0,0
R0060,Global Design & Decor Collector,45-54,Female,Italy,$50-100K,Individual collector,"Strong personal interest, not Indian-origin",1-2,1,Local boutiques,Wall art & paintings; Religious/spiritual items,Pricing trust concerns,4,Named verified artisan profiles,1,No,1,83.0,314.0,39.3,1.0,Trust/authenticity doubts,Video story of the artisan,True,4,3.0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,83.0,0,0,0
R0329,Global Design & Decor Collector,25-34,Female,UK,$50-100K,Retailer or boutique owner,"Strong personal interest, not Indian-origin",1-2,1,Online marketplaces,Furniture; Pottery & ceramics,Authenticity doubts,5,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy; Recognized brand or press coverage,4,"Yes, definitely",4,119.0,233.0,61.1,3.0,Shipping/customs concerns,Video story of the artisan,True,2,3.0,1,2,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,357.0,1,0,0
R0097,Global Design & Decor Collector,25-34,Male,UAE,$50-100K,Retailer or boutique owner,No particular connection,1-2,2,Local boutiques; Online marketplaces; Direct from artisans/travel; Galleries or exhibitions,Home decor; Textiles & apparel; Wall art & paintings; Furniture; Religious/spiritual items,Authenticity doubts,4,Authentication/certification per piece; Named verified artisan profiles; Recognized brand or press coverage,3,No,5,111.0,343.0,72.2,3.0,Not enough need/interest,Sustainability certification,False,2,3.0,1,0,4,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,333.0,1,0,0
R0313,Diaspora Heritage Buyer,45-54,Male,USA,$200K+,Individual collector,Indian-origin,3-5,3,Other,Home decor; Textiles & apparel; Wall art & paintings; Religious/spiritual items,Inconsistent quality,4,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy; Recognized brand or press coverage; Personal referral,6,"Yes, definitely",9,213.0,1162.0,78.0,3.0,Price too high,Nothing specific,True,4,5.0,2,2,2,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,639.0,1,1,1
R0975,Diaspora Heritage Buyer,18-24,Female,Canada,$25-50K,Other,Indian-origin,1-2,2,Online marketplaces; Direct from artisans/travel,Textiles & apparel; Religious/spiritual items,Other/none,4,Authentication/certification per piece; Reviews from other collectors; Personal referral,3,"Yes, definitely",6,57.0,206.0,55.7,3.0,Price too high,Faster shipping,False,1,2.0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,171.0,1,0,0
R0300,Diaspora Heritage Buyer,25-34,Female,USA,$50-100K,Individual collector,Indian-origin,3-5,4,Local boutiques; Online marketplaces,Home decor; Jewelry,No provenance story,3,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy; Personal referral,5,No,0,77.0,363.0,61.0,0.0,Price too high,Video story of the artisan,False,2,3.0,2,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0,0,0
R0278,Conscious Luxury Consumer,25-34,Male,USA,$25-50K,Individual collector,"Strong personal interest, not Indian-origin",3-5,4,Don't currently buy,Home decor; Pottery & ceramics,Authenticity doubts,2,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors,3,Possibly,2,33.0,109.0,42.2,2.0,Price too high,Financing/installment options,True,2,2.0,2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,66.0,0,0,0
R0925,Global Design & Decor Collector,35-44,Male,USA,$100-200K,Interior designer or architect,Professional interest (design/retail),1-2,1,Direct from artisans/travel,Home decor; Wall art & paintings; Furniture; Pottery & ceramics,Shipping/customs issues,4,Authentication/certification per piece; Named verified artisan profiles; Recognized brand or press coverage,3,Possibly,3,244.0,1135.0,46.9,3.0,Price too high,Nothing specific,True,3,4.0,1,1,4,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,732.0,1,1,0
R0602,Diaspora Heritage Buyer,35-44,Female,USA,$50-100K,Individual collector,Indian-origin,0,0,Local boutiques,Jewelry; Wall art & paintings; Religious/spiritual items,Authenticity doubts,4,Authentication/certification per piece; Recognized brand or press coverage,2,Possibly,5,92.0,585.0,48.55,1.0,Price too high,Nothing specific,True,3,3.0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,92.0,0,0,0
R0440,Diaspora Heritage Buyer,45-54,Female,Canada,$25-50K,Individual collector,Indian-origin,3-5,4,Online marketplaces,Textiles & apparel; Religious/spiritual items,No provenance story,4,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy,4,"Yes, definitely",10,105.0,363.0,54.5,8.0,Trust/authenticity doubts,Faster shipping,True,4,2.0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,840.0,1,0,1
R0838,Global Design & Decor Collector,55+,Female,UK,$100-200K,Retailer or boutique owner,Professional interest (design/retail),6+,6,Online marketplaces,Textiles & apparel; Furniture,No provenance story,5,Authentication/certification per piece; Recognized brand or press coverage,2,"Yes, definitely",7,368.5,909.0,49.4,2.0,Trust/authenticity doubts,Financing/installment options,True,5,4.0,3,2,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,737.0,0,1,0
R0571,Global Design & Decor Collector,25-34,Female,Italy,$100-200K,Interior designer or architect,Indian-origin,3-5,3,Local boutiques,Jewelry; Wall art & paintings; Furniture; Pottery & ceramics,Authenticity doubts,5,Named verified artisan profiles; Reviews from other collectors; Personal referral,3,"Yes, definitely",10,289.0,850.0,55.4,3.0,Trust/authenticity doubts,Sustainability certification,False,2,4.0,2,2,4,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,867.0,1,1,1
R0880,Diaspora Heritage Buyer,45-54,Female,USA,$50-100K,Individual collector,No particular connection,1-2,1,Direct from artisans/travel,Home decor; Textiles & apparel; Jewelry; Pottery & ceramics,Pricing trust concerns,4,Personal referral,1,"Yes, definitely",5,86.0,329.0,31.9,7.0,Trust/authenticity doubts,Financing/installment options,False,4,3.0,1,2,2,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,602.0,1,0,0
R0262,Collectors Circle Prospect,35-44,Other,Singapore,$200K+,Individual collector,"Strong personal interest, not Indian-origin",3-5,4,Local boutiques; Direct from artisans/travel,Jewelry; Wall art & paintings; Pottery & ceramics,Other/none,4,Named verified artisan profiles; Reviews from other collectors; Personal referral,3,"Yes, definitely",8,83.0,1505.0,45.4,3.0,Trust/authenticity doubts,Video story of the artisan,True,3,5.0,2,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,249.0,1,0,0
